MGEN|20210608121332|1.0|30|7222|RECURRENT
CAISSEAFFILIATION|0102562235|20090209000002|ACT|973|19940901||506||||||||||||||||||||||
CAISSEAFFILIATION|0102816150|20090209000001|ACT|973|20060901||506||||||||||||||||||||||
CAISSEAFFILIATION|0104981620|20090209000001|ACT|973|20040901||506||||||||||||||||||||||
CAISSEAFFILIATION|0104981621|20181215053242|ACT|973|20181215|20191031|506||||||||||||||||||||||
CONTRATCOLLECTIF|16000170|1|15256|S6500009|O0004501|FR018701|OF000028|0|ASEI CENTRE ROLAND C|20120101|||||||||||||||||||
CONTRATCOLLECTIF|16000171|1|2409|S7500454|O0004501|FR018701|OF000028|0|ETUDE NOTARIALE.CNJ|20090701|||||||||||||||||||
CONTRATCOLLECTIF|16000172|1|14932|S6900017|O0004501|FR018701|OF000028|0|PEP 69|20081001|||||||||||||||||||
CONTRATCOLLECTIF|16000173|1|6593|S6900017|O0004501|FR018701|OF000028|0|PEP 69|20090401|||||||||||||||||||
CONTRATCOLLECTIF|16000174|1|8762|S3600012|O0004501|FR018701|OF000028|0|PEP 36 AD DE L INDRE|20090101|||||||||||||||||||
CONTRATCOLLECTIF|16000175|1|12084|S1200012|O0004501|FR018701|OF000028|0|FNATH GROUPEMENT|20110701|||||||||||||||||||
CONTRATCOLLECTIF|16000176|1|14028|S1400047|O0004501|FR018701|OF000028|0|FNATH DU CALVADOS MA|20070101|||||||||||||||||||
CONTRATCOLLECTIF|16000177|1|3043|S1400047|O0004501|FR018701|OF000028|0|FNATH DU CALVADOS MA|20100101|||||||||||||||||||
CONTRATCOLLECTIF|16000178|1|1392|S5500007|O0004501|FR018701|OF000028|0|FNATH DE LA MEUSE|20070101|||||||||||||||||||
CONTRATCOLLECTIF|16000179|1|3351|S2900031|O0004501|FR018701|OF000028|0|FNATH DU FINISTERE|20100401|||||||||||||||||||
CONTRATCOLLECTIF|16000180|1|2369|S7500374|O0004501|FR018701|OF000028|0|FNATH GROUPEMENT|20120101|||||||||||||||||||
CONTRATCOLLECTIF|16000181|1|13013|S4600003|O0004501|FR018701|OF000028|0|ALGEEI|20130301|||||||||||||||||||
CONTRATCOLLECTIF|16000182|1|5230|S2200015|O0004501|FR018701|OF000028|0|LES ATELIERS DE LA B|20060101|||||||||||||||||||
CONTRATCOLLECTIF|16000183|1|13199|S9700417|O0004501|FR018701|OF000028|0|CAT JEAN CLERMONT II|20090401|||||||||||||||||||
CONTRATCOLLECTIF|16000184|1|13380|S5900089|O0004501|FR018701|OF000028|0|FNATH DU NORD|20070101|||||||||||||||||||
CONTRATCOLLECTIF|16000185|1|4054|S2800023|O0004501|FR018701|OF000028|0|ESAT ADPEP 28|20121201|||||||||||||||||||
CONTRATCOLLECTIF|16000186|1|4606|S7500014|O0004501|FR018701|OF000028|0|LIGUE DE L ENSEIGNEM|20130401|||||||||||||||||||
CONTRATCOLLECTIF|16000187|1|12981|S3600005|O0004501|FR018701|OF000028|0|PEP 36|20130101|||||||||||||||||||
CONTRATCOLLECTIF|16000188|1|11344|S5000008|O0004501|FR018701|OF000028|0|LIGUE DE L ENSEIGNEM|20130501|||||||||||||||||||
CONTRATCOLLECTIF|16000189|1|8661|S1900003|O0004501|FR018701|OF000028|0|PEP 19|20070101|||||||||||||||||||
CONTRATCOLLECTIF|16000190|1|2680|S7000013|O0004501|FR018701|OF000028|0|FNATH DE LA HAUTE SA|20070101|||||||||||||||||||
CONTRATCOLLECTIF|16000191|1|5506|S9400029|O0004501|FR018701|OF000028|0|APAJH 94|20080401|||||||||||||||||||
CONTRATCOLLECTIF|16000192|1|5493|S7000005|O0004501|FR018701|OF000028|0|ASSOCIATION FRANCO S|20100301|||||||||||||||||||
CONTRATCOLLECTIF|16000193|1|11315|S9200122|O0004501|FR018701|OF000028|0|SARL ROTLIS|20120101|||||||||||||||||||
CONTRATCOLLECTIF|16000194|1|1248|S4500038|O0004501|FR018701|OF000028|0|FNATH DU LOIRET|20100401|||||||||||||||||||
CONTRATCOLLECTIF|16000195|1|1890|S7600026|O0004501|FR018701|OF000028|0|PEP 76|20080101|||||||||||||||||||
CONTRATCOLLECTIF|16000196|1|10193|S9500064|O0004501|FR018701|OF000028|0|APAJH 95 ASS DEPART|20080401|||||||||||||||||||
CONTRATCOLLECTIF|16000197|1|2500|S8100026|O0004501|FR018701|OF000028|0|ASEI CENTRE LE CEROU|20120101|||||||||||||||||||
CONTRATCOLLECTIF|16000198|1|5028|S3000023|O0004501|FR018701|OF000028|0|CENTRE CHRETIEN|20120101|||||||||||||||||||
CONTRATCOLLECTIF|16000199|1|11601|S6900054|O0004501|FR018701|OF000028|0|M J C LE CADRAN|19910101|||||||||||||||||||
CONTRATCOLLECTIF|16000200|1|4137|S7500211|O0004501|FR018701|OF000028|0|ENTRAIDE UNIVERSITAI|20100401|||||||||||||||||||
CONTRATCOLLECTIF|16000201|1|21|S2300029|O0004501|FR018701|OF000028|0|ALEFPA|20110701|||||||||||||||||||
CONTRATCOLLECTIF|16000202|1|8311|S7700013|O0004501|FR018701|OF000028|0|MPT VICTOR JARA|20110101|||||||||||||||||||
CONTRATCOLLECTIF|16000203|1|8561|S2900007|O0004501|FR018701|OF000028|0|PEP 29|20110101|||||||||||||||||||
